name,description,killed,year,duration,country
,"Crimean Tartars-(Poland-Lithuania), 1482",,1482,0,Crimean Tartars
,"Venice, pope-Ferrara (aided by Milan, Naples and Florence,), 1482-84",,1482,2,Venice
Duke of Buckingham's Revolt (Wars of the Roses),"England, 1483",,1483,0,England
,"Muscovy-Ugrians, 1483",,1483,0,Muscovy
,"Burgundy (Utrecht, Ghent), 1483-85",,1483,2,Burgundy
,"China (Yao in Guangxi), 1483",,1483,0,China
,"Muscovy-Tver, 1484-85",,1484,1,Muscovy
,"Songhai-Bandiagara, Hombori (Mali?), 1484",,1484,0,Songhai
,"Savoy-Saluzzo, 1485-87",,1485,2,Savoy
,"Naples (nobles, with intervention by pope and Venice), 1485",,1485,0,Naples
,"Turkey-Egypt (Cilicia), 1485-90",,1485,5,Turkey
,"China (rebellion in Sichuan), 1485",,1485,0,China
,"France-Emperor, 1486-89",,1486,3,France
Lovell's rising,"England, 1486",,1486,0,England
,"Spain-Morocco, 1487",,1487,0,Spain
Uprising of Lambert Simnel,"England, 1487",,1487,0,England
,"Muscovy-Kazan Tartars, 1487",,1487,0,Muscovy
,"Golden Horde-(Poland-Lithuania), 1487-91",,1487,4,Golden Horde
,"China (rebellion in Guangxi), 1487",,1487,0,China
Baron's Revolt,"Scotland, 1488",,1488,0,Scotland
,"Burgundy, Emperor-Flanders (Ghent, Bruges, Cleves, aided by France), 1488-93",,1488,5,Burgundy
,"Songhai-Gourma (Mali), 1488",,1488,0,Songhai
,"Japan (Hongan-Kaga) (Ishakawa ken), 1488",,1488,0,Japan
,"China-Tartars (Guasu), 1488",,1488,0,China
,"Muscovy-Vyatka, 1489",,1489,0,Muscovy
,"China (peasants in Sichuan, Hubei), 1489",,1489,0,China
,"Bohemia-Poland, 1490-91",,1490,1,Bohemia
,"Spain-Morocco, 1490",,1490,0,Spain
,"Spain-Canary Islands (Palma), 1490",,1490,0,Spain
,"Changamire-Monomotapa (Mozambique and Zimbabwe), 1490",,1490,0,Changamire
,"Crimean Tartars-Kazan Tartars, 1491-1502",,1491,11,Crimean Tartars
,"Kongo-Tyo (Congo), 1491",,1491,0,Kongo
,"Japan (governor-governor) (Izi, Shizioka ken), 1491",,1491,0,Japan
,"Emperor-France, 1492-93",,1492,1,Emperor
,"Muscovy-Lithuania, 1492-94",,1492,2,Muscovy
,"Turkey-Dalmatia, Croatia, 1492-93",,1492,1,Turkey
,"France (Brittany), 1492",,1492,0,France
,"Spain (Jews in Aragon and Castile), 1492",,1492,0,Spain
,"Songhai-Gourma (Mali), 1492-93",,1492,1,Songhai
,"China (rebellion in Guangxi), 1492",,1492,0,China
,"China (Miao in Guangxi), 1492",,1492,0,China
,"England (Ireland), 1493-96",,1493,3,England
,"Spain-Canary Islands (Tenerife), 1493-96",,1493,3,Spain
,"Denmark-Sweden, 1493-97",,1493,4,Denmark
,"China-Tartars (Ningxia), 1493",,1493,0,China
,"China (Xinjiang), 1493",,1493,0,China
,"Burgundy (Gelderland), 1494",,1494,0,Burgundy
,"Spain-Fez, Mellilla, 1494-97",,1494,3,Spain
,"Changamire-Monomotapa (Mozambique and Zimbabwe), 1494-1502",,1494,8,Changamire
,"Monomotapa (Butwa), 1494",,1494,0,Monomotapa
,"Arghuns-Baluchistan (Pishin, Quetta, Mastung), 1494",,1494,0,Arghuns
,"Spain-Arawaks (Haiti), 1495",,1495,0,Spain
,"Florence-Pisa, 1495-1509",,1495,14,Florence
Warbeck's Rebellion,"England, 1495-97",,1495,2,England
,"Kano-Katsina (Nigeria), 1495-1506",,1495,11,Kano
,"China (Gansu, Liaoning), 1495",,1495,0,China
,"China (Fujian), 1495",,1495,0,China
,"Portugal (Jews), 1496",,1496,0,Portugal
,"Scotland-England, 1496-97",,1496,1,Scotland
,"Spain-Morocco, 1497",,1497,0,Spain
Flammock's Rebellion,"England (Cornwall), 1497",,1497,0,England
,"Mughals-Timurids, (with Uzbek intervention) (Samarkand), 1497",,1497,0,Mughals
,"China (Gansu), 1497",,1497,0,China
,"Portugal-Calicut (India), 1498",,1498,0,Portugal
,"Turkey-Galicia, Ruthenia (Russia), 1498",,1498,0,Turkey
,"Turkey-Venice, 1498-1503",,1498,5,Turkey
Muo Incident,"Korea, 1498",,1498,0,Korea
,"China-Tartars (Gansu), 1498",,1498,0,China
,"Spain (Moors), 1499-1500",,1499,1,Spain
Swiss-Swabian War,"Swiss Confederation, Grisons-Tyrol, Swabian League, emperor, 1499",,1499,0,Swiss Confederation
,"Muscovy-Ugrians, 1499-1500",,1499,1,Muscovy
,"China (Guizhou), 1499-1502",,1499,3,China
,"China (Guizhou), 1499-1501",,1499,2,China
,"Denmark-Golschtein (Ditmarshes), 1500",,1500,0,Denmark
,"Ardabil-Persia, 1501",,1501,0,Ardabil
,"Popes-Tuscany, Romagna, 1501-08",,1501,7,Pope
,"Denmark-Sweden, Norway, Hanseatic cities (Lubeck), 1501-13",,1501,12,Denmark
,"Uzbeks-Timurids, 1501-07",,1501,6,Uzbeks
,"China (Ningxia), 1501",,1501,0,China
,"China (Ningxia), 1501-05",,1501,4,China
,"China (Liaoning), 1501",,1501,0,China
,"Crimean Tartars-Kazan Tartars, 1502",,1502,0,Crimean Tartars
,"Portugal-Kilwa, Mombasa, 1502",,1502,0,Portugal
,"Safavids-White Sheep Turkomans (Shurur), 1502",,1502,0,Safavids
,"China (peasants in Hainan), 1502",,1502,0,China
,"China (Jiangxi), 1502",,1502,0,China
,"Spain-Arawaks (Hispaniola), 1503-04",,1503,1,Spain
,"Spain-Indians (Panama), 1503",,1503,0,Spain
Bavarian War of 1503-04,"Palatinate-Bavaria, Swabian League, emperor, 1503-04",,1503,1,Palatinate
,"Spain-Mers-el-Kebir, Oran, Tripoli, etc, 1503-05",,1503,2,Spain
,"Russia-Livonian Order, 1503-09",,1503,6,Russia
,"Spain-Indians (Panama), 1504",,1504,0,Spain
,"Benin-Udo (Nigeria), 1504",,1504,0,Benin
,"Moghuls-Arghuns (Kabul and Ghazni), 1504",,1504,0,Moghuls
,"China-Tartars (Shanxi), 1504",,1504,0,China
,"China (Guangxi), 1504",,1504,0,China
,"China (Ningxi), 1504",,1504,0,China
Kapcha coup,"Korea (coup), 1504",,1504,0,Korea
,"Burgundy-Castile (Gelderland), 1505",,1505,0,Burgundy
,"Kazan Tartars-Novgorod, 1505",,1505,0,Kazan Tartars
,"Morocco-Portugal, 1505-14",,1505,9,Morocco
,"Mozambique-Portugal (Sofala), 1505",,1505,0,Mozambique
,"Portugal-Zanj (Tanzania, Kenya, Somalia), 1505-06",,1505,1,Portugal
,"China-Tartars (Ningxia, Hebei, Gansu), 1505",,1505,0,China
,"Crimean Tartars-Lithuania, Cossacks, 1506",,1506,0,Crimean Tartars
,"Emperor-(Bohemia-Hungary), 1506-07",,1506,1,Emperor
,"Malindi (Kenya), 1506-08",,1506,2,Malindi
,"Korea (revolt), 1506",,1506,0,Korea
,"France (Genoa), 1507",,1507,0,France
,"Crimean Tartars-Muscovy, 1507",,1507,0,Crimean Tartars
,"Portugal-Persia (Hormuz), 1507",,1507,0,Portugal
,"Portugal-Egypt (Red Sea), 1507",,1507,0,Portugal
,"Shans-Ava (Burma), 1507",,1507,0,Shans
,"China (rebellion), 1508-12",,1508,4,China
,"China (Shandong), 1508",,1508,0,China
,"China (Sichuan), 1508",,1508,0,China
,"Turkey, Egypt-Knights of Malta, 1509",,1509,0,Turkey
,"Spain-Morocco, Algiers, Tunis, Tripoli, 1509-11",,1509,2,Spain
,"Portugal-Egypt (Red Sea), 1509",,1509,0,Portugal
,"Persia-Afghanistan (Herat), 1509",,1509,0,Persia
,"China (Jiangxi), 1509-1513",,1509,4,China
,"China (Ningxia), 1509-34",,1509,25,China
,"China (Shanxi), 1509",,1509,0,China
,"Poland-Tatars, 1510",,1510,0,Poland
,"Spain-Indians (San Sebastian, Colombia), 1510",,1510,0,Spain
,"Muscovy-Pskov, 1510",,1510,0,Muscovy
,"China (Ningxia), 1510",,1510,0,China
,"China (peasants), 1510-12",,1510,2,China
,"China (Hebei), 1510",,1510,0,China
,"China (Hunan), 1510",,1510,0,China
,"China (Sichuan), 1510",,1510,0,China
,"Spain-Ciboney (Cuba), 1511",,1511,0,Spain
,"Algiers-Spain (Tunis, Bone, Tlemcen), 1511-14",,1511,3,Algiers
,"Turkey (succession), 1511-12",,1511,1,Turkey
,"Portugal-Malacca, 1511",,1511,0,Portugal
,"Uzbeks-Timurids (Babur) (Bukhara), 1511-14",,1511,3,Uzbeks
,"Japan (Kyoto), 1511",,1511,0,Japan
,"China (Sichuan), 1511-13",,1511,2,China
,"China (Guizhou, Shanxi), 1511-12",,1511,1,China
,"Crimean Tartars-Muscovy, Cossacks, 1512",,1512,0,Crimean Tartars
,"Crimean Tartars-Poland, 1512",,1512,0,Crimean Tartars
,"Spain (aided by England)-Navarre, 1512",,1512,0,Spain
,"Songhai-Katsina, Zaria, Kano (Nigeria), 1512",,1512,0,Songhai
,"Germany (Black Forest, Wuerttemberg), 1513-14",,1513,1,Germany
,"Turkey (succession), 1513",,1513,0,Turkey
,"China (Shanxi), 1513",,1513,0,China
,"Turkey (Corsairs)-Spain, Hafsids (Algiers, Djidjelli, Tlemcen), 1514-21",,1514,7,Turkey
,"Kongo-Ambundu (northwest Angola), 1514",,1514,0,Kongo
,"Chingizids-Chaghatais (western China), 1514",,1514,0,Chingizids
,"Spain-Indians (Panama), 1515",,1515,0,Spain
,"Spain-Indians (Curacao, Bonaire), 1515",,1515,0,Spain
,"Austria (Styrian peasants), 1515",,1515,0,Austria
,"Burgundy (Gelderland), 1515-17",,1515,2,Burgundy
,"Portugal-Kurdistan, 1515",,1515,0,Portugal
,"Aztecs-Tlaxcala (Mexico), 1515-19",,1515,4,Aztecs
,"Kebbi-Songhai, 1515",,1515,0,Kebbi
,"Benin-Idah (Nigeria), 1515",,1515,0,Benin
,"China (Ningxia), 1515",,1515,0,China
,"China (Guangxi), 1515",,1515,0,China
,"China (Guangdong), 1515",,1515,0,China
,"Navarre-Spain, 1516",,1516,0,Navarre
,"Sweden, 1516-17",,1516,1,Sweden
,"Poland-Crimean Tartars, 1516",,1516,0,Poland
,"Turkey-Syria, Egypt, 1516-17",,1516,1,Turkey
,"Spain (Sicily), 1516-17",,1516,1,Spain
,"Adal-Ethiopia, 1516",,1516,0,Adal
,"China (Jiangxi), 1516-17",,1516,1,China
,"Portugal-Zaila (Somaliland), 1517",,1517,0,Portugal
,"Kongo-Ambundu (northwest Angola), 1517",,1517,0,Kongo
Dano-Swedish War,"Denmark-Sweden, 1518-20",,1518,2,Denmark
,"Turkey (Shias), 1518",,1518,0,Turkey
,"Portugal-Berbera (Somalia), 1518",,1518,0,Portugal
,"China (Guangdong), 1518",,1518,0,China
,"China-Portugal (Guangdong), 1518",,1518,0,China
Germanias Insurrection,"Spain (Barcelona), 1519-22",,1519,3,Spain
,"Swabian League-Wurttemberg, 1519",,1519,0,Swabian League
Gildesgeim war (Hildesheim?),"Gildesgeim, Luneburg-Kalenberg, Minden, 1519-23",,1519,4,Gildesgeim
,"Poland-Crimean Tartars, 1519",,1519,0,Poland
,"(Poland-Lithuania)-Muscovy, 1519-22",,1519,3,(Poland-Lithuania)
,"China (rebellion in Jiangxi), 1519",,1519,0,China
,"China (Shangdong), 1519",,1519,0,China
Kimyo Incident,"Korea, 1519",,1519,0,Korea
Kalmar Civil War,"Sweden-Kalmar (Denmark), 1520-23",,1520,3,Sweden
Communeros' Uprising,"Spain (Castile and Valencia), 1520-23",,1520,3,Spain
,"Turkey (Syria), 1520-21",,1520,1,Turkey
,"Turkey-Funj (Sudan), 1520",,1520,0,Turkey
,"China-Tartars (Hebei, Shanxi, Ningxia), 1520",,1520,0,China
,"China (Yunnan), 1520-26",,1520,6,China
,"Spain (Majorca), 1521",,1521,0,Spain
,"China (Guizhou), 1521",,1521,0,China
,"Denmark-Holstein, Lubeck, 1522-24",,1522,2,Denmark
,"Netherlands (Friesland), 1522-24",,1522,2,Netherlands
,"Spain-Guatamala, 1522-24",,1522,2,Spain
,"Turkey (Egypt), 1522-24",,1522,2,Turkey
,"Portugal-Kerimba Island, 1522",,1522,0,Portugal
,"Portugal-Molucca Island (Indonesia), 1522",,1522,0,Portugal
,"China (Guangxi), 1522",,1522,0,China
,"China (Shangdong), 1522",,1522,0,China
,"Russia-Kazan and Crimean Tatars, 1523-24",,1523,1,Russia
,"Persia (Safavids)-Uzbeks, 1523-26",,1523,3,Safavids
,"China-Japan (Zhejiang), 1523",,1523,0,China
,"Spain-Honduras, 1524-26",,1524,2,Spain
,"Shans-Ava (Burma), 1524-27",,1524,3,Shans
,"China (Gansu), 1524",,1524,0,China
,"China (Hebei), 1524",,1524,0,China
Daljunkare's Uprising,"Sweden, 1525-27",,1525,2,Sweden
,"Tyrol (peasants), 1525",,1525,0,Tyrol
,"Turkey-Yemen, 1525",,1525,0,Turkey
,"Portugal-Morocco, 1525",,1525,0,Portugal
,"China-Tartars (Gansu), 1525",,1525,0,China
,"China (Yunnan), 1525",,1525,0,China
,"China (Guangxi), 1525",,1525,0,China
Colonna Revolt,"Papal States (Colonna revolt), 1526",,1526,0,Papal States
,"Turkey (Cilicia) (Turkomans), 1526",,1526,0,Turkey
,"Turkey (Karaman) (Mamelukes), 1526-28",,1526,2,Turkey
Suleiman's War with Persia,"Persia-Turkey, 1526",,1526,0,Persia
,"Kongo-Portugal (northwest Angola), 1526",,1526,0,Kongo
,"Persia-Uzbeks (Khurasan), 1526-28",,1526,2,Persia
,"Arghuns-Khaljis (Multan), 1526-27",,1526,1,Arghuns
,"Spain-Yucatan (Mexico), 1527-28",,1527,1,Spain
Florentine war,"Florence-pope, emperor, 1527-30",,1527,3,Florence
,"Spain (Brussels, Gelderland), 1527 ?",,1527,0,Spain
,"Crimean Tartars-Muscovy, 1527-29",,1527,2,Crimean Tartars
,"Hungary (succession), 1527-38",,1527,11,Hungary
,"Bali (Ethiopia)-Adal (Somaliland), 1527",,1527,0,Bali
,"Shans-Ava (Burma), 1527",,1527,0,Shans
,"Safavids-Uzbeks (Khurasan), 1528",,1528,0,Safavids
,"Kenya-Portugal (Mombasa, Mtangata, Utondwe), 1528",,1528,0,Kenya
,"China (Shanxi, Henan), 1528",,1528,0,China
,"China (Yunnan), 1528",,1528,0,China
,"China-Tartars (Shanxi, Hebei, Gansu), 1528",,1528,0,China
Revolt of Tabasco,"Spanish Mexico (Tabasco), 1529",,1529,0,Spanish Mexico
Smaland and Vastergotland Uprisings,"Sweden, 1529",,1529,0,Sweden
,"Switzerland (religious), 1529",,1529,0,Switzerland
,"Algiers-Spain, 1529",,1529,0,Algiers
,"Somaliland-Ethiopia (with Portuguese intervention in 1541), 1529-1543",,1529,14,Somaliland
,"Moguls (Afghanistan)-India (Delhi), 1529",,1529,0,Moguls
,"Japan (warlords in Saga ken), 1530",,1530,0,Japan
,"Spain-Yucatan, 1531-35",,1531,4,Spain
Lubeck War,"Lubeck, Hansa cities-Sweden, Denmark, 1531-36",,1531,5,Lubeck
Bell Revolution,"Sweden, 1531-32",,1531,1,Sweden
,"Denmark (succession, with intervention by Lubeck and Netherlands), 1531-32",,1531,1,Denmark
,"China-Tartars (Gansu, Shanxi), 1531",,1531,0,China
,"Spain (Brussels), 1532",,1532,0,Spain
Polish War,"Emperor-(Poland-Lithuania), Moldavia, 1532-33",,1532,1,Emperor
,"Emperor-Italy, 1532-33",,1532,1,Emperor
Count's War,"Denmark (succession, with intervention by Lubeck and Sweden), 1533-36",,1533,3,Denmark
,"Russia-Tatars, 1533",,1533,0,Russia
,"Turkey-Persia, 1533-35",,1533,2,Turkey
,"China-Tartars (Gansu, Hebei), 1533",,1533,0,China
,"Sweden-Lubeck, 1534-36",,1534,2,Sweden
,"Algiers-Spain,Italy (Tunis), 1534-1563",,1534,29,Algiers
,"Algiers-France, 1534",,1534,0,Algiers
,"Japan (warlords in north Kyushu), 1534",,1534,0,Japan
,"Savoy-Geneva, Berne, 1535-36",,1535,1,Savoy
,"Spain-Peru, 1535-36",,1535,1,Spain
,"Russia-Tatars, 1535",,1535,0,Russia
,"Russia-Kazan Tatars, 1535",,1535,0,Russia
Pilgrimage of Grace,"England (religious), 1536-37",,1536,1,England
,"China (Gansu), 1536",,1536,0,China
Turkish War with Venice,"Turkey, Algiers-Venice, 1537-39",,1537,2,Turkey
,"China (Guangxi, Vietnam), 1537",,1537,0,China
,"Turkey-Aden, 1538",,1538,0,Turkey
,"Turkey-Persia, 1538-39",,1538,1,Turkey
,"Egypt-Portugal (Diu, Aden), 1538",,1538,0,Egypt
,"Japan (warlords in Chiba ken), 1538",,1538,0,Japan
,"Spain-Yucatan, 1539",,1539,0,Spain
,"Spain-Florida, 1539",,1539,0,Spain
,"Pope-Papal States, Camerino, 1540-45",,1540,5,Pope
,"Afghans-India, 1540",,1540,0,Afghans
,"Russia-Crimean Tartars, 1540-72",,1540,32,Russia
,"Emperor-Hungary, 1540-41",,1540,1,Emperor
,"France (massacre of Vaudois protestants), 1540",,1540,0,France
Coronado's Expedition,"Spain-Mexico (northern), 1540-42",,1540,2,Spain
,"Spain-Chile, 1540-61",,1540,21,Spain
,"China (Hebei, Shanxi, Gansu, Ningxia), 1540",,1540,0,China
Second Spanish Civil War in Peru,"Spanish Peru, 1541-42",,1541,1,Spanish Peru
Dacke's Rebellion,"Sweden (religious, peasants, with intervention by France), 1542-43",,1542,1,Sweden
,"Saxony, Hesse-Brunswick, 1542",,1542,0,Saxony
,"Algiers-emperor, Spain, Italy, 1542-44",,1542,2,Algiers
,"China (Guangxi), 1542",,1542,0,China
,"Emperor-Tlemcen, 1543",,1543,0,Emperor
,"China (Hunan), 1543",,1543,0,China
,"Japan (warlords in Aichi ken), 1543",,1543,0,Japan
,"China (Shanxi, Hebei), 1544",,1544,0,China
,"France (massacre of Vaudois protestants), 1545",,1545,0,France
,"Turkey-Persia, 1545-49",,1545,4,Turkey
,"Ethiopia-muslim state of Dawaro, Fatajar, Bali), 1545",,1545,0,Ethiopia
,"Galla-Dawaro (Ethiopia), 1545-47",,1545,2,Galla
,"Spain-Mexico (Maya), 1546",,1546,0,Spain
Third Spanish Civil War in Peru,"Spanish Peru, 1546",,1546,0,Spanish Peru
,"Japan (warlords in Saitama ken), 1546",,1546,0,Japan
,"Turkey-Portugal (Aden), 1547",,1547,0,Turkey
,"China (Gansu), 1547",,1547,0,China
,"China (Shanxi, Hebei), 1548-49",,1548,1,China
,"Japan (warlords in Aichi ken), 1548",,1548,0,Japan
Prayerbook Uprising,"England (Devonshire, Catholic), 1549",,1549,1,England
Kett's Rebellion,"England (Kent, peasant), 1549",,1549,0,England
Magdeburg War,"German Protestants-Emperor, 1550-51",,1550,1,German Protestants
,"Turkey-Funj (Sudan), 1550",,1550,0,Turkey
,"Spain-pirates (Tunisia), 1550",,1550,0,Spain
,"Yoruba-Nupe (Nigeria), 1550",,1550,0,Yoruba
,"Ava (Burma)-Thailand, Laos, Shans, 1550-69",,1550,19,Ava
,"Mongolia-China (Beijing), 1550",,1550,0,Mongolia
,"China (Ming)-Anda (Beijing), 1550",,1550,0,China
,"China (Hebei), 1550",,1550,0,China
,"China (Yunnan), 1550-53",,1550,3,China
,"Pope-Parma, 1551",,1551,0,Pope
,"Turkey-Knights of Malta (Tripoli), 1551-52",,1551,1,Turkey
,"Turkey-Portugal (Muscat), 1551",,1551,0,Turkey
,"Spain-Peru, 1552-54",,1552,2,Spain
,"Turkey-Persia, 1552-54",,1552,2,Turkey
Metz War,"German Protestants-Emperor, 1552-53",,1552,1,German Protestants
,"Portugal-Moluccans (Ternate), 1552-65",,1552,13,Portugal
Marches of Albrecht of Kulmbach,"Kulmbach-Emperor,1553",,1553,0,Kulmbach
,"Florence-Siena, 1553-55",,1553,2,Florence
,"Japan (warlords in Nagano ken), 1553",,1553,0,Japan
,"Morocco (Sharifs)-Portugal (Fez), 1554",,1554,0,Morocco
,"Songhai-Katsina (Nigeria), 1554",,1554,0,Songhai
,"Ethiopia-Galla, 1554-55",,1554,1,Ethiopia
,"France-Portugal (Brazil), 1555",,1555,0,France
,"Geneva (anti-Calvinist rising), 1555",,1555,0,Geneva
,"Moguls-Afghans (in India), 1555",,1555,0,Moguls
,"China (Hebei), 1555",,1555,0,China
,"Japan-China (Nanking), 1555",,1555,0,Japan
,"Japan (warlords in Hiroshima ken), 1555",,1555,0,Japan
,"Japan (warlords in Nagano ken), 1555",,1555,0,Japan
,"Spain-pirates (Tunisia), 1556-1560",,1556,4,Spain
,"Kongo-Ndongo (Angola), 1556",,1556,0,Kongo
,"Moguls-Hindus (Panipat, India), 1556",,1556,0,Moguls
,"Japan (warlords in Kanagawa ken), 1556",,1556,0,Japan
,"Japan (warlords in Chibu ken), 1556",,1556,0,Japan
,"Scotland-England, 1557",,1557,0,Scotland
,"Turkey-Portugal (Zaila, Somaliland), 1557",,1557,0,Turkey
,"Tigre-Turkey (Ethiopia), 1557",,1557,0,Tigre
,"Japan (warlords in Nagano ken), 1557",,1557,0,Japan
Russian-Lithuanian war,"Muscovy-Lithuania, 1558-61",,1558,3,Muscovy
Russo-Swedish War,"Muscovy-Sweden, 1558-61",,1558,3,Muscovy
,"India-Gwalior, 1558",,1558,0,India
,"Denmark-Golschtein (Ditmarshes), 1559",,1559,0,Denmark
,"Harar-Ethiopia, 1559",,1559,0,Harar
,"China-Japanese pirates (Zhejiang, Jiangsu), 1559",,1559,0,China
,"Moguls-Rajput, Bengalis, 1560",,1560,0,Moguls
,"Savoy (Vaudois), 1560-61",,1560,1,Savoy
Conspiracy of Amboise,"France, 1560",,1560,0,France
,"Japan (warlords in Aichi ken), 1560",,1560,0,Japan
,"Japan (warlords in Kouchi ken), 1560",,1560,0,Japan
,"Russia-Livonian Order, Denmark, 1561-70",,1561,9,Russia
,"Japan (warlords in Nagano ken), 1561",,1561,0,Japan
,"Scotland (rebellion), 1562",,1562,0,Scotland
Swedish Civil War,"Sweden, 1562-68",,1562,6,Sweden
,"England-France, 1562-63",,1562,1,England
,"Morocco-Portugal (Mazagan), 1562",,1562,0,Morocco
,"Japan (warlords in Kochi ken), 1562",,1562,0,Japan
,"Russia-Siberian Tsar, 1563",,1563,0,Russia
Seven Years War of the North,"Denmark, Poland, Lubeck-Sweden, 1563-70",,1563,7,Denmark
,"Ndongo-Benguella (Angola), 1563",,1563,0,Ndongo
,"Emperor-Transylvania, 1564-66",,1564,2,Emperor
,"Spain-Filipinos, 1564-67",,1564,3,Spain
,"Moluccas-Portugal (aided by Spain), 1564-69",,1564,5,Moluccas
,"Genoa (Corsica), 1564-68",,1564,4,Genoa
,"Japan (warlords in Chiba ken), 1564",,1564,0,Japan
,"Japan (warlords in Nagano ken), 1564",,1564,0,Japan
,"Scotland (religious), 1565-67",,1565,2,Scotland
,"Spain-France (Florida), 1565",,1565,0,Spain
,"Spain (Moriscos in Andalusia), 1565",,1565,0,Spain
,"Turkey-Malta (Knights of St. John), Spain, 1565",,1565,0,Turkey
,"Ndongo (Angola), 1565",,1565,0,Ndongo
,"China (Guangdong), 1565",,1565,0,China
,"China (Sichuan), 1565-66",,1565,1,China
,"Portugal-France (Brazil), 1566-67",,1566,1,Portugal
,"Tyo-Kongo (Congo), 1566-67",,1566,1,Tyo
,"China (Anhui, Jiangsu, Jiangxi, Zhejiang), 1566",,1566,0,China
Scotch Rebellion,"Scotland, 1567",,1567,0,Scotland
,"Galla-Harar, Ethiopia, 1567",,1567,0,Galla
,"England-Spain (Caribbean), 1568",,1568,0,England
Russian War with Turkey,"Turkey-Russia (Astrakhan), 1568-69",,1568,1,Turkey
,"Jaga-Kongo (Angola?), 1568-69",,1568,1,Jaga
,"Holland (Kafirs)-Zanzibar, 1568",,1568,0,Netherlands
,"Turkey-Kenya (Cambo), 1568",,1568,0,Turkey
,"Japan (rebellion in Fukooka ken), 1568-69",,1568,1,Japan
Insurrection of the Beggars (Eighty Years War),"Spain-Netherlands, 1569-72",,1569,3,Spain
,"Russia-Tatars, 1569",,1569,0,Russia
,"Algiers-Tunis, 1569-70",,1569,1,Algiers
,"Turkey-Arabia, 1569",,1569,0,Turkey
,"Portugal-Monomotapa (Mozambique), 1569",,1569,0,Portugal
,"Harar-Galla (Ethiopia), 1569",,1569,0,Harar
,"Kenya-Portugal (Pate), 1569",,1569,0,Kenya
,"American Indians-Portugal, 1570-71",,1570,1,American Indians
,"Scotland (Marians), 1570-73",,1570,3,Scotland
,"Muscovy-Novgorod, 1570",,1570,0,Muscovy
,"Austria (Croatia, Hapsburg Hungary), 1570-73",,1570,3,Austria
,"Katsina-Kano (Nigeria), 1570",,1570,0,Katsina
,"Zimba-others (Zimbabwe), 1570",,1570,0,Zimba
,"Portugal-Moluccans (Ternate), 1570-74",,1570,4,Portugal
,"Japan (warlords in Shiga ken), 1570",,1570,0,Japan
,"Japan (Osaka), 1570-80",,1570,10,Japan
,"Crimean Tartars-Muscovy, 1571-72",,1571,1,Crimean Tartars
,"Portugal, Kongo-Jaga (northwest Angola), 1571-72",,1571,1,Portugal
,"Portugal-Mozambique (Manica), 1571-74",,1571,3,Portugal
,"Spain-Netherlands, 1572-1576",,1572,4,Spain
,"Muscovy (Volga Tartars), 1572",,1572,0,Muscovy
Russo-Swedish War,"Russia-Sweden, 1572-83",,1572,11,Russia
,"Russia-Poland, 1572-75",,1572,3,Russia
,"Turkey (Moldavia), 1572-74",,1572,2,Turkey
,"China-Japanese pirates (Guangdong), 1572",,1572,0,China
,"Japan (Shizioka ken), 1572",,1572,0,Japan
,"Moguls-Gujarat (west India), 1573",,1573,0,Moguls
,"China (minorities in Guangxi and Guangdong), 1573",,1573,0,China
,"China (Tartars in Liaoning and Inner Mongolia), 1573",,1573,0,China
,"Ukraine-Moldavia, 1574",,1574,0,United_Kingdomraine
,"Moguls-Bengal, 1574-76",,1574,2,Moguls
Italian War,"France, Switzerland-Venice, 1575",,1575,0,France
,"Transylvania, 1575",,1575,0,Transylvania
,"Portugal-Malabar, 1575-85",,1575,10,Portugal
,"Japan (Aichi ken), 1575",,1575,0,Japan
,"Japan (Kochi ken), 1575",,1575,0,Japan
,"Korea (court factional strife), 1575",,1575,0,Korea
,"Turkey-Hejaz (Morocco), 1576",,1576,0,Turkey
,"Portugal-tribesmen (Accra in Ghana), 1576",,1576,0,Portugal
,"Poland (Danzig), 1577",,1577,0,Poland
,"Harar-Ethiopia, 1577",,1577,0,Harar
,"China (minority in Guangdong), 1577",,1577,0,China
,"Japan (Chukoku area), 1577-82",,1577,5,Japan
,"Spain-Netherlands (with intervention from France and England), 1578-1587",,1578,9,Spain
,"England-Portugal (Cape Verde Islands), 1578",,1578,0,England
Turko-Persian War,"Turkey-Persia, 1578-90",,1578,12,Turkey
,"Ethiopia-Turkey, 1578-89",,1578,11,Ethiopia
,"Muscovy-Siberian Tartars, 1578-81",,1578,3,Muscovy
,"Japan (warlords in Miyazaki ken), 1578",,1578,0,Japan
Irish Rebellion,"England (Ireland, with intervention by pope, Spain), 1579-80",,1579,1,England
,"Ndongo-Portugal (Angola), 1579-85",,1579,6,Ndongo
,"Makua-Portugal (Mozambique), 1580",,1580,0,Makua
,"Morocco-Tuaregs (Algeria), 1581",,1581,0,Morocco
,"Muscovy-Siberian Tatars, 1581-85",,1581,4,Muscovy
,"Oman-Portugal (Muscat), 1581",,1581,0,Oman
,"Moguls-Afghanistan, 1581",,1581,0,Moguls
,"Portugal-Moluccans (Ternate), 1581",,1581,0,Portugal
,"China (Tartars in Liaoning), 1581-83",,1581,2,China
,"France-Spain (Azores), 1582-83",,1582,1,France
,"Japan (Yamanashi ken), 1582",,1582,0,Japan
,"Japan (Okayama ken), 1582",,1582,0,Japan
,"Japan (Kyoto), 1582",,1582,0,Japan
